brand,price,fuel,month,year,mileage,power,url
Renault Clio 1.0 TCe Limited,16900.0,Gasolina,Outubro,2021,60000,90,https://www.standvirtual.com/carros/anuncio/renault-clio-1-0-tce-limited-ID8PvPMR.html
Renault Mégane 1.5 dCi Limited,11990.0,Diesel,Dezembro,2015,101428,110,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-5-dci-limited-ID8PzP7S.html
Peugeot 308 SW 1.5 BlueHDi Allure,29990.0,Diesel,Outubro,2022,36572,130,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-5-bluehdi-allure-ID8Pz10A.html
VW Golf Variant 2.0 TDi GTD DSG,32500.0,Diesel,Agosto,2019,60000,184,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-2-0-tdi-gtd-dsg-ID8PzUHO.html
Suzuki Vitara 1.4T GLX Mild Hybrid,26980.0,Gasolina,Junho,2023,11350,129,https://www.standvirtual.com/carros/anuncio/suzuki-vitara-1-4t-glx-mild-hybrid-ID8PzUHZ.html
BMW X2 16 d sDrive Auto Advantage,29750.0,Diesel,Maio,2019,98000,116,https://www.standvirtual.com/carros/anuncio/bmw-x2-16-d-sdrive-auto-advantage-ID8PzUGY.html
VW Golf 1.0 TSI OPF IQ.DRIVE,19900.0,Gasolina,Julho,2019,39175,115,https://www.standvirtual.com/carros/anuncio/vw-golf-1-0-tsi-opf-iq-drive-ID8PvdzK.html
Mercedes-Benz C 220 CDi Avantgarde,6750.0,Diesel,Março,2001,296000,143,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-cdi-avantgarde-ID8PylnZ.html
Audi A5 Sportback 2.0 TDI S-line,16750.0,Diesel,Novembro,2009,262800,170,https://www.standvirtual.com/carros/anuncio/audi-a5-sportback-2-0-tdi-s-line-ID8Pz6iA.html
Land Rover Range Rover Sport 5.0 V8 S/C SVR Carbon Edition,140000.0,Gasolina,Outubro,2018,95000,575,https://www.standvirtual.com/carros/anuncio/land-rover-range-rover-sport-5-0-v8-s-c-svr-carbon-edition-ID8PpGLi.html
VW Golf 1.0 TSI OPF Active,22740.0,Gasolina,Junho,2021,55152,110,https://www.standvirtual.com/carros/anuncio/vw-golf-1-0-tsi-opf-active-ID8PzxKL.html
Lexus IS 300H Executive,29500.0,Híbrido (Gasolina),Março,2019,68272,223,https://www.standvirtual.com/carros/anuncio/lexus-is-300h-executive-ID8PyPzq.html
Lexus IS 300H Executive,29000.0,Híbrido (Gasolina),Março,2019,79096,223,https://www.standvirtual.com/carros/anuncio/lexus-is-300h-executive-ID8PhMDo.html
DS DS7 Crossback 1.5 BlueHDi Be Chic,25700.0,Diesel,Novembro,2018,122149,130,https://www.standvirtual.com/carros/anuncio/ds-ds7-crossback-1-5-bluehdi-be-chic-ID8Pz3Ag.html
Mercedes-Benz S 320 CDi 4-Matic,14990.0,Diesel,Maio,2009,254000,235,https://www.standvirtual.com/carros/anuncio/mercedes-benz-s-320-cdi-4-matic-ID8PvdKy.html
Mercedes-Benz CLA 180 d AMG Line,31990.0,Diesel,Setembro,2019,107824,116,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-180-d-amg-line-ID8PyX8k.html
BMW 118 d Pack M,12450.0,Diesel,Junho,2011,187064,143,https://www.standvirtual.com/carros/anuncio/bmw-118-d-pack-m-ID8PzKlc.html
Fiat 500 1.2 Lounge,11900.0,Gasolina,Outubro,2016,89000,69,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PzCyz.html
BMW M5 Pack 50 anos M,99000.0,Gasolina,Junho,2018,95000,600,https://www.standvirtual.com/carros/anuncio/bmw-m5-pack-50-anos-m-ID8PbZcd.html
Renault Clio 1.0 TCe RS Line,17850.0,Gasolina,Julho,2020,35630,100,https://www.standvirtual.com/carros/anuncio/renault-clio-1-0-tce-rs-line-ID8PxI6o.html
Mercedes-Benz R 320 CDi 4-Matic,13500.0,Diesel,Junho,2006,330000,224,https://www.standvirtual.com/carros/anuncio/mercedes-benz-r-320-cdi-4-matic-ID8Pz11m.html
Skoda Scala 1.0 TSI Ambition,17480.0,Gasolina,Junho,2021,55795,95,https://www.standvirtual.com/carros/anuncio/skoda-scala-1-0-tsi-ambition-ID8PzUHv.html
MINI Cooper D,9990.0,Diesel,Maio,2012,191000,112,https://www.standvirtual.com/carros/anuncio/mini-cooper-d-ID8PyVPO.html
Audi A1 1.4 TDI S-line,18490.0,Diesel,Outubro,2017,143448,90,https://www.standvirtual.com/carros/anuncio/audi-a1-1-4-tdi-s-line-ID8PuezW.html
SEAT Ibiza,5350.0,Diesel,Junho,2009,256328,90,https://www.standvirtual.com/carros/anuncio/seat-ibiza-ID8Pz1eT.html
Opel Astra 1.0 Edition S/S,13950.0,Gasolina,Abril,2019,97500,105,https://www.standvirtual.com/carros/anuncio/opel-astra-1-0-edition-s-s-ID8PwL9T.html
Mercedes-Benz C 220 d AMG Line,55900.0,Diesel,Janeiro,2021,9860,194,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-d-amg-line-ID8PtT6L.html
Volvo V60 2.0 T6 AWD TE Inscription Expression,38000.0,Híbrido (Gasolina),Dezembro,2021,129807,340,https://www.standvirtual.com/carros/anuncio/volvo-v60-2-0-t6-awd-te-inscription-expression-ID8PzFhl.html
Volvo XC 60 2.0 D4 Summum Start/Stop,20900.0,Diesel,Março,2013,113000,163,https://www.standvirtual.com/carros/anuncio/volvo-xc-60-2-0-d4-summum-start-stop-ID8PzyiY.html
Renault Clio 1.2 16V Rip Curl,4900.0,Gasolina,Novembro,2007,196209,75,https://www.standvirtual.com/carros/anuncio/renault-clio-1-2-16v-rip-curl-ID8PzUHw.html
BMW 640 d Cabrio M Sport Edition,57500.0,Diesel,Fevereiro,2016,104184,313,https://www.standvirtual.com/carros/anuncio/bmw-640-d-cabrio-m-sport-edition-ID8PzKo2.html
Peugeot 3008 1.6 BlueHDi Active,19900.0,Diesel,Maio,2017,175200,120,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-6-bluehdi-active-ID8PxSDq.html
